benchmark,index,watch_index,node,aig_id,requested_phase,has_cut_requested,has_cut_opposite,cached_requested,cached_opposite,level
benchmarks/i10.aig,1,0,612,855,1,1,1,0,0,18
benchmarks/i10.aig,3,0,612,855,0,1,1,0,1,18
benchmarks/i10.aig,5,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,7,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,9,0,612,855,1,1,1,1,1,18
benchmarks/i10.aig,11,0,612,855,1,1,1,1,1,18
benchmarks/i10.aig,13,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,15,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,17,0,612,855,1,1,1,1,1,18
benchmarks/i10.aig,19,0,612,855,1,1,1,1,1,18
benchmarks/i10.aig,21,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,23,0,612,855,0,1,1,1,1,18
benchmarks/i10.aig,25,0,612,855,0,1,1,1,1,18
benchmarks/ode.abc.blif,1,0,2417,5219,1,1,1,0,0,36
benchmarks/ode.abc.blif,3,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,5,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,7,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,9,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,11,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,13,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,15,0,2417,5219,1,1,1,1,0,36
benchmarks/ode.abc.blif,17,0,2417,5219,1,1,1,1,0,36
benchmarks/or1200.abc.blif,2,0,9641,11491,0,1,0,0,0,7
benchmarks/or1200.abc.blif,4,0,9641,11491,0,1,0,1,0,7
benchmarks/or1200.abc.blif,6,0,9641,11491,0,1,0,1,0,7
benchmarks/or1200.abc.blif,8,0,9641,11491,0,1,0,1,0,7
benchmarks/or1200.abc.blif,10,0,9641,11491,0,1,0,1,0,7
benchmarks/or1200.abc.blif,12,0,9641,11491,0,1,0,1,0,7
benchmarks/syn2.abc.blif,1,0,14582,18002,1,1,0,0,0,3
benchmarks/syn2.abc.blif,3,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,5,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,7,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,9,0,14582,18002,1,1,0,1,0,3
benchmarks/syn2.abc.blif,11,0,14582,18002,1,1,0,1,0,3
