benchmark,index,reason,profile_open,node,level,refs,leaves,phase,slack,area_save,arrival_delta,arrival_gain_margin,area_margin,one_inv_area
benchmarks/or1200.abc.blif,1,profile-closed,0,11994,14,4,4,1,11.98037,0.93,-3.340004,1.585,1.4,0.7
benchmarks/or1200.abc.blif,2,profile-closed,0,11994,14,4,5,1,11.98037,0.93,-2.32,1.585,1.4,0.7
benchmarks/or1200.abc.blif,3,profile-closed,0,11995,14,4,4,0,11.670372,0.93,-0.379997,1.585,1.4,0.7
benchmarks/or1200.abc.blif,4,profile-closed,0,12001,17,4,4,1,10.310364,0.93,-14.400009,1.585,1.4,0.7
benchmarks/or1200.abc.blif,5,profile-closed,0,12001,17,4,4,1,10.310364,0.93,-14.690018,1.585,1.4,0.7
benchmarks/syn2.abc.blif,1,profile-closed,0,2318,29,5,4,0,7.430023,0.93,-10.130005,1.585,1.4,0.7
benchmarks/syn2.abc.blif,2,profile-closed,0,2318,29,5,4,0,7.430023,0.93,-10.130005,1.585,1.4,0.7
benchmarks/syn2.abc.blif,3,profile-closed,0,5785,44,4,4,0,10.839981,0.93,-0.800003,1.585,1.4,0.7
benchmarks/syn2.abc.blif,4,profile-closed,0,5785,44,4,4,1,7.61998,0.93,-2.76001,1.585,1.4,0.7
benchmarks/syn2.abc.blif,5,profile-closed,0,5785,44,4,5,1,7.61998,0.93,-1.26001,1.585,1.4,0.7
benchmarks/syn2.abc.blif,6,profile-closed,0,21363,49,4,4,0,11.790039,0.93,-8.349991,1.585,1.4,0.7
benchmarks/syn2.abc.blif,7,profile-closed,0,23628,38,4,4,0,6.52002,0.93,-1.75,1.585,1.4,0.7
benchmarks/syn2.abc.blif,8,profile-closed,0,23628,38,4,4,1,7.550034,1.17,-1.049988,1.585,1.4,0.7
benchmarks/syn2.abc.blif,9,profile-closed,0,23628,38,4,5,1,7.550034,1.17,-0.029999,1.585,1.4,0.7
benchmarks/syn2.abc.blif,10,profile-closed,0,23673,37,4,5,1,7.850021,0.93,-11.840012,1.585,1.4,0.7
benchmarks/syn2.abc.blif,11,profile-closed,0,27904,57,4,5,1,9.659973,0.93,-1.459991,1.585,1.4,0.7
benchmarks/syn2.abc.blif,12,profile-closed,0,35068,45,4,4,0,11.949997,0.93,-2.11998,1.585,1.4,0.7
benchmarks/syn2.abc.blif,13,profile-closed,0,35068,45,4,4,0,11.949997,0.93,-2.11998,1.585,1.4,0.7
benchmarks/syn2.abc.blif,14,profile-closed,0,37979,42,5,4,1,7.170013,0.93,-3.699997,1.585,1.4,0.7
benchmarks/syn2.abc.blif,15,profile-closed,0,37979,42,5,4,1,7.170013,0.93,-3.699997,1.585,1.4,0.7
benchmarks/syn2.abc.blif,16,profile-closed,0,37979,42,5,5,1,7.170013,0.93,-2.199997,1.585,1.4,0.7
