benchmark,index,watch_index,mapper_mode,node,aig_id,level,refs,phase,gate,leaves,cut_leaf_load_avg,fanout_limit,load_drive_ratio,arrival,required,slack,area_flow,u_phase_best,node_sink_pressure_ratio,cut_sink_pressure_ratio,scl_feedback,leaf0_node,leaf0_aig_id,leaf1_node,leaf1_aig_id,leaf2_node,leaf2_aig_id,leaf3_node,leaf3_aig_id,leaf4_node,leaf4_aig_id,leaf5_node,leaf5_aig_id
benchmarks/i10.aig,1,0,0,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.230003,-1.000000,0.000000,23.789753,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,2,0,0,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,-1.000000,0.000000,31.130444,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,3,1,0,615,861,20,2,0,OAI22xp33_ASAP7_75t_L,4,1.250,1,1.250,81.550003,-1.000000,0.000000,71.081711,0,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,4,1,0,615,861,20,2,1,AOI22xp33_ASAP7_75t_L,4,1.250,1,1.250,82.260010,-1.000000,0.000000,62.995266,15,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,5,0,1,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,3.880042,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,6,0,1,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,8.181529,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,7,1,1,615,861,20,2,0,OAI22xp33_ASAP7_75t_L,4,1.250,1,1.250,81.550003,81.560013,0.010010,7.342702,0,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,8,1,1,615,861,20,2,1,AOI22xp33_ASAP7_75t_L,4,1.250,1,1.250,82.260010,82.340012,0.080002,5.473064,15,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,9,0,2,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,1.630000,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,10,0,2,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,1.400000,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,11,1,2,615,861,20,2,0,OAI22xp33_ASAP7_75t_L,4,1.250,1,1.250,81.550003,81.560013,0.010010,1.400000,0,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,12,1,2,615,861,20,2,1,AOI22xp33_ASAP7_75t_L,4,1.250,1,1.250,82.290009,82.340012,0.050003,1.400000,15,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,13,0,3,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,1.630000,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,14,0,3,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,1.400000,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,15,1,3,615,861,20,2,0,OAI22xp33_ASAP7_75t_L,4,1.250,1,1.250,81.550003,81.560013,0.010010,1.400000,0,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,16,1,3,615,861,20,2,1,AOI22xp33_ASAP7_75t_L,4,1.250,1,1.250,82.290009,82.340012,0.050003,1.400000,15,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,17,0,0,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.230003,-1.000000,0.000000,23.789753,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,18,0,0,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,-1.000000,0.000000,31.130444,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,19,1,0,615,861,20,2,0,OAI22xp33_ASAP7_75t_L,4,1.250,1,1.250,81.550003,-1.000000,0.000000,71.081711,0,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,20,1,0,615,861,20,2,1,AOI22xp33_ASAP7_75t_L,4,1.250,1,1.250,82.260010,-1.000000,0.000000,62.995266,15,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,21,0,1,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,3.880042,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,22,0,1,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,8.181529,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,23,1,1,615,861,20,2,0,OAI22xp33_ASAP7_75t_L,4,1.250,1,1.250,81.550003,81.560013,0.010010,7.342702,0,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,24,1,1,615,861,20,2,1,AOI22xp33_ASAP7_75t_L,4,1.250,1,1.250,82.260010,82.340012,0.080002,5.473064,15,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,25,0,2,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,1.630000,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
benchmarks/i10.aig,26,0,2,612,855,18,1,1,NOR4xp25_ASAP7_75t_L,4,9.500,1,9.500,70.980003,70.980011,0.000008,1.400000,10,0.000,0.000,0.000,347,572,398,623,430,629,611,854,-1,-1,-1,-1
benchmarks/i10.aig,27,1,2,615,861,20,2,0,OAI22xp33_ASAP7_75t_L,4,1.250,1,1.250,81.550003,81.560013,0.010010,1.400000,0,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,28,1,2,615,861,20,2,1,AOI22xp33_ASAP7_75t_L,4,1.250,1,1.250,82.290009,82.340012,0.050003,1.400000,15,0.000,0.000,0.000,534,751,572,795,606,850,612,855,-1,-1,-1,-1
benchmarks/i10.aig,29,0,3,612,855,18,1,0,NAND5xp2_ASAP7_75t_L,5,10.400,1,10.400,71.320000,71.490013,0.170013,1.630000,25,0.000,0.000,0.000,347,572,398,623,423,649,430,629,610,853,-1,-1
