benchmark,index,watch_index,node,aig_id,phase,cached_node,via
benchmarks/i10.aig,6,0,612,855,0,809,request
benchmarks/i10.aig,8,0,612,855,0,809,request
benchmarks/i10.aig,11,0,612,855,1,756,request
benchmarks/i10.aig,14,0,612,855,1,756,request
benchmarks/i10.aig,17,0,612,855,0,809,request
benchmarks/i10.aig,20,1,615,861,1,876,request
benchmarks/i10.aig,22,1,615,861,0,872,request
benchmarks/i10.aig,24,0,612,855,0,809,request
benchmarks/i10.aig,26,0,612,855,1,756,request
benchmarks/i10.aig,28,0,612,855,1,756,request
benchmarks/i10.aig,30,0,612,855,0,809,request
benchmarks/i10.aig,32,0,612,855,0,809,request
benchmarks/i10.aig,34,1,615,861,1,876,request
benchmarks/i10.aig,36,1,615,861,0,872,request
benchmarks/i10.aig,38,1,615,861,1,876,request
benchmarks/i10.aig,40,1,615,861,0,872,request
benchmarks/i10.aig,42,1,615,861,1,876,request
benchmarks/i10.aig,44,0,612,855,0,809,request
benchmarks/ode.abc.blif,4,0,2417,5219,1,4974,request
benchmarks/ode.abc.blif,6,0,2417,5219,1,4974,request
benchmarks/ode.abc.blif,9,0,2417,5219,1,4974,request
benchmarks/ode.abc.blif,12,0,2417,5219,1,4974,request
benchmarks/ode.abc.blif,14,0,2417,5219,1,4974,request
benchmarks/ode.abc.blif,16,1,2427,5229,0,4987,request
benchmarks/ode.abc.blif,18,0,2417,5219,1,4974,request
benchmarks/ode.abc.blif,20,0,2417,5219,1,4974,request
benchmarks/ode.abc.blif,22,0,2417,5219,1,4974,request
benchmarks/ode.abc.blif,24,1,2427,5229,0,4987,request
benchmarks/ode.abc.blif,26,1,2427,5229,0,4987,request
benchmarks/ode.abc.blif,28,1,2427,5229,0,4987,request
benchmarks/or1200.abc.blif,6,0,9641,11491,0,6717,request
benchmarks/or1200.abc.blif,10,0,9641,11491,0,6717,request
benchmarks/or1200.abc.blif,12,0,9641,11491,0,6717,request
benchmarks/or1200.abc.blif,14,0,9641,11491,0,6717,request
benchmarks/or1200.abc.blif,16,1,11983,13829,1,7517,request
benchmarks/or1200.abc.blif,18,1,11983,13829,0,7518,request
benchmarks/or1200.abc.blif,20,1,11983,13829,0,7518,request
benchmarks/or1200.abc.blif,22,0,9641,11491,0,6717,request
benchmarks/syn2.abc.blif,6,0,14582,18002,1,11210,request
benchmarks/syn2.abc.blif,8,0,14582,18002,1,11210,request
benchmarks/syn2.abc.blif,10,0,14582,18002,1,11210,request
benchmarks/syn2.abc.blif,12,0,14582,18002,1,11210,request
benchmarks/syn2.abc.blif,14,1,14992,18467,1,11218,request
benchmarks/syn2.abc.blif,16,0,14582,18002,1,11210,request
benchmarks/syn2.abc.blif,18,1,14992,18467,1,11218,request
